Source Name,Mention Count,,
moultonadvertiser.com,4,,
terra.com,4,,
oraclechronicle.com,4,,
argusleader.com,4,,
francesoir.fr,4,,
vancouversun.com,4,,
in-cyprus.com,4,,
nigeriatoday.ng,4,,
13wham.com,4,,
philstar.com,4,,
kfdm.com,4,,
oleantimesherald.com,4,,
billionaire.com,4,,
countercurrents.org,4,,
entornointeligente.com,4,,
voiceofalexandria.com,4,,
europesun.com,4,,
financialafrik.com,4,,
mercurynewsdaily.com,4,,
saiia.org.za,4,,
20minutes.fr,4,,
newstimeafrica.com,4,,
wjactv.com,4,,
leaderpost.com,4,,
news24.co.ke,4,,
internationallawoffice.com,4,,
marketscreener.com,4,,
moneycontrol.com,4,,
statejournal.com,4,,
pmnewsnigeria.com,4,,
kerngoldenempire.com,4,,
afp.com,4,,
24.com.eg,4,,
foxreno.com,4,,
elaph.com,4,,
investing.com,4,,
elperiodicodemexico.com,4,,
informe21.com,4,,
kvlu.org,4,,
hongkongherald.com,4,,
shine.cn,4,,
heraldonline.com,4,,
smc.sd,4,,
goldcoastbulletin.com.au,4,,
dailypakistan.com.pk,4,,
thenewslens.com,4,,
newsradioklbj.com,4,,
alnhar.net,4,,
taiwansun.com,4,,
newsadvance.com,4,,
innercitypress.com,4,,
thoughtleader.co.za,4,,
fredericksburg.com,4,,
netnebraska.org,4,,
unnindia.com,4,,
ta3.com,4,,
newsday.com,4,,
theuknews.com,4,,
abc22now.com,4,,
newschannel20.com,4,,
timesofoman.com,4,,
capetalk.co.za,4,,
sanluisobispo.com,4,,
wlrh.org,4,,
britainnews.net,4,,
malaysiakini.com,4,,
modbee.com,4,,
nikkei.com,4,,
thehindu.com,4,,
islandpacket.com,4,,
columbustelegram.com,4,,
tpmelectioncentral.com,4,,
politics.co.uk,4,,
heraldbulletin.com,4,,
rt.com,4,,
mediacongo.net,4,,
thesierraleonetelegraph.com,4,,
fox17.com,4,,
elespectador.com,4,,
cipe.org,4,,
albawaba.com,4,,
thetimesgazette.com,4,,
peacefmonline.com,4,,
beatricedailysun.com,4,,
phys.org,4,,
terra.com.pe,4,,
helenair.com,4,,
tmcnet.com,4,,
tampabay.com,4,,
sfbayview.com,4,,
pahomepage.com,4,,
portugalglobal.pt,4,,
springfieldnewssun.com,4,,
techtimes.com,4,,
breakingnews.ie,4,,
spacewar.com,4,,
misna.org,4,,
wchstv.com,4,,
ahram.org.eg,4,,
vietnamtribune.com,4,,
serbian.cri.cn,3,,
yale.edu,3,,
lepetitjournal.com,3,,
broadwayworld.com,3,,
knau.org,3,,
jpost.com,3,,
channel3000.com,3,,
bloombergquint.com,3,,
4029tv.com,3,,
jornaldeangola.sapo.ao,3,,
agi.it,3,,
businessinsider.com.au,3,,
wbal.com,3,,
ky3.com,3,,
cheddarvalleygazette.co.uk,3,,
cachevalleydaily.com,3,,
kxan.com,3,,
kaj18.com,3,,
sacbee.com,3,,
africacenter.org,3,,
kvnf.org,3,,
hastingstribune.com,3,,
thesun.co.uk,3,,
cantondailyledger.com,3,,
strategypage.com,3,,
dothanfirst.com,3,,
publicradioeast.org,3,,
sfchronicle.com,3,,
drum.co.za,3,,
wabe.org,3,,
yibada.com,3,,
ngrguardiannews.com,3,,
conchovalleyhomepage.com,3,,
eldia.es,3,,
the-japan-news.com,3,,
klcc.org,3,,
theweek.com,3,,
wfit.org,3,,
click2houston.com,3,,
japantoday.com,3,,
ksbw.com,3,,
federalnewsradio.com,3,,
wosu.org,3,,
kbia.org,3,,
nhpr.org,3,,
iharare.com,3,,
kiro7.com,3,,
wglt.org,3,,
devdiscourse.com,3,,
ryb.ru,3,,
morningstaronline.co.uk,3,,
postoracle.com,3,,
euro.cz,3,,
redriverradio.org,3,,
stamfordadvocate.com,3,,
bonnercountydailybee.com,3,,
journalreview.com,3,,
wdbj7.com,3,,
ndtv.com,3,,
eng.tpp-inform.ru,3,,
newstimes.com,3,,
utsandiego.com,3,,
wcti12.com,3,,
seneweb.com,3,,
scientificamerican.com,3,,
news8000.com,3,,
thebrunswicknews.com,3,,
kunm.org,3,,
irna.ir,3,,
chinachristiandaily.com,3,,
texomashomepage.com,3,,
asiabulletin.com,3,,
norwichbulletin.com,3,,
milenio.com,3,,
freep.com,3,,
weaa.org,3,,
investegate.co.uk,3,,
siouxlandmatters.com,3,,
wmot.org,3,,
wvtf.org,3,,
constructionreviewonline.com,3,,
ktxs.com,3,,
wmdt.com,3,,
rochesterfirst.com,3,,
lefigaro.fr,3,,
graphic.com.gh,3,,
horsetalk.co.nz,3,,
thenewamerican.com,3,,
wvik.org,3,,
fox30jax.com,3,,
newburyportnews.com,3,,
wksu.org,3,,
wftv.com,3,,
irishtimes.com,3,,
thepatriot.co.bw,3,,
kuow.org,3,,
thecable.ng,3,,
cybersecuritycaucus.com,3,,
opb.org,3,,
nettavisen.no,3,,
wamc.org,3,,
crisisgroup.org,3,,
source.co.zw,3,,
brics-info.org,3,,
moderndiplomacy.eu,3,,
wuwf.org,3,,
dnaindia.com,3,,
depo.ua,3,,
stabroeknews.com,3,,
magseriesusa.net,3,,
roanoke.com,3,,
actionnewsjax.com,3,,
mtpr.org,3,,
latercera.com,3,,
moneyweb.co.za,3,,
cp-africa.com,3,,
usatoday.com,3,,
la-croix.com,3,,
