Country Name,ISO Code,Confidence Level,Press Type,Mean,Standard Deviation,Number of Articles
Rwanda,RWA,70,Chinese,3.4090842309975087,2.5511946471890483,266
Rwanda,RWA,70,Western,-0.5760661339759827,1.5004916731982634,25
Rwanda,RWA,70,Local,1.97377626808526,2.6285769292903662,191
Rwanda,RWA,100,Chinese,3.310124353000096,2.910584576490964,140
Rwanda,RWA,100,Western,-0.5456092804670334,1.155338162118788,4
Rwanda,RWA,100,Local,2.0151627339761364,2.6660010787705053,88
Seychelles,SYC,0,Chinese,2.3345559537410736,3.528364160991772,81
Seychelles,SYC,0,Western,-1.942054526961368,4.192221725526788,23
Seychelles,SYC,0,Local,3.2244902155827733,2.430509277862039,320
Seychelles,SYC,30,Chinese,1.7687157344818116,4.5610683738238205,25
Seychelles,SYC,30,Western,-2.03585923405794,3.7373758618778514,13
Seychelles,SYC,30,Local,2.775778198024122,2.623910841622228,164
Seychelles,SYC,50,Chinese,0.5669774876700507,4.625044954920845,18
Seychelles,SYC,50,Western,-2.03585923405794,3.7373758618778514,13
Seychelles,SYC,50,Local,2.725411325196425,2.6831248611808296,120
Seychelles,SYC,70,Chinese,0.8343255519866943,6.255125405060934,5
Seychelles,SYC,70,Western,-2.9960439701875052,3.9817439374067836,9
Seychelles,SYC,70,Local,2.4404153454871405,2.603500755542304,84
Seychelles,SYC,100,Chinese,-2.4255788326263428,0.0,1
Seychelles,SYC,100,Western,-0.08490217477083206,0.6969122984494702,4
Seychelles,SYC,100,Local,2.2987215769290925,3.16436781431113,50
Somalia,SOM,0,Chinese,-0.248107715939165,4.684816720017034,1128
Somalia,SOM,0,Western,-3.3467727930969504,3.5789663597809156,166
Somalia,SOM,0,Local,-0.8014224274134679,3.834367848764138,551
Somalia,SOM,30,Chinese,-0.5952803726746317,4.557550274834917,544
Somalia,SOM,30,Western,-4.121216538879606,3.0640014179730564,72
Somalia,SOM,30,Local,-0.30970244938112135,3.9463288205184113,259
Somalia,SOM,50,Chinese,-0.8471890969877072,4.504109692827522,389
Somalia,SOM,50,Western,-4.263485643823268,3.018277545710082,59
Somalia,SOM,50,Local,-0.3312488440424204,3.9172035461971952,200
Somalia,SOM,70,Chinese,-0.8228818899030008,4.248914238297402,197
Somalia,SOM,70,Western,-3.2202798219827504,3.169431995352891,26
Somalia,SOM,70,Local,-0.1165990604748649,3.967288650807497,124
Somalia,SOM,100,Chinese,-1.2199159470993444,4.152972849734891,109
Somalia,SOM,100,Western,-1.8449836730957032,0.48464848913331776,15
Somalia,SOM,100,Local,0.27803669718362517,3.42994462918516,59
South Africa,ZAF,0,Chinese,2.9894104886467034,2.6086501872373375,4318
South Africa,ZAF,0,Western,-1.3010624698977875,2.871409890962445,894
South Africa,ZAF,0,Local,0.17452785604626478,3.29658603299663,4715
South Africa,ZAF,30,Chinese,3.058644229854502,2.534254797571079,2042
South Africa,ZAF,30,Western,-1.3020851071490798,3.030478241337184,387
South Africa,ZAF,30,Local,0.3297887906905205,3.3419569603364483,2079
South Africa,ZAF,50,Chinese,2.892733288810107,2.3912123671746905,1192
South Africa,ZAF,50,Western,-1.1208812463427744,2.9998431472712874,248
South Africa,ZAF,50,Local,0.4209917469744116,3.3296013810179974,1234
South Africa,ZAF,70,Chinese,2.877430696174324,2.263468971828777,751
South Africa,ZAF,70,Western,-0.9814489487780641,3.091369048292717,151
South Africa,ZAF,70,Local,0.3685458390357484,3.336388853893522,703
South Africa,ZAF,100,Chinese,2.96657958121623,2.3150932589781665,413
South Africa,ZAF,100,Western,-0.7891507470294049,2.7508715150234524,76
South Africa,ZAF,100,Local,0.22227813795872844,3.3191570261869257,404
South Sudan,SSD,0,Chinese,1.134103050938359,3.817034048250102,1107
South Sudan,SSD,0,Western,-2.2860988220199943,3.217526885768452,80
South Sudan,SSD,0,Local,0.751026160331164,4.359616193936029,207
South Sudan,SSD,30,Chinese,1.1742988503292988,3.5990498206684345,646
South Sudan,SSD,30,Western,-2.215828025260487,3.220955153340601,37
South Sudan,SSD,30,Local,0.8515425072452887,4.579548503183519,123
South Sudan,SSD,50,Chinese,0.9590092326571523,3.4727365521270723,473
South Sudan,SSD,50,Western,-2.1755667130152383,3.1140398260242717,27
South Sudan,SSD,50,Local,1.4002694792368195,4.419322055777716,88
South Sudan,SSD,70,Chinese,1.1472954212019109,3.5613880794870023,298
South Sudan,SSD,70,Western,-3.264782658645085,2.0147034462633613,14
South Sudan,SSD,70,Local,1.0907585057345304,4.612592576334978,55
South Sudan,SSD,100,Chinese,1.2566590082077753,3.4269082688912085,168
South Sudan,SSD,100,Western,-4.549503547804696,1.4866544889156184,7
South Sudan,SSD,100,Local,0.7615819921096166,4.434143271319239,36
Sudan,SDN,0,Chinese,2.374305220483119,3.2443093426970857,2215
Sudan,SDN,0,Western,-3.7558246091456717,3.6127952659288978,299
Sudan,SDN,0,Local,0.2856299450830355,3.5304766814198354,1735
Sudan,SDN,30,Chinese,2.3779167351873722,3.1777028374571987,1121
Sudan,SDN,30,Western,-3.631185671006601,3.3964638808781284,127
Sudan,SDN,30,Local,0.13866016441308993,3.549903936870884,803
Sudan,SDN,50,Chinese,2.226725962754469,3.264598034281743,829
Sudan,SDN,50,Western,-3.573887397525131,3.195128358250925,93
Sudan,SDN,50,Local,0.022590563801311008,3.567671703802152,596
Sudan,SDN,70,Chinese,2.0471718580167066,3.324013801047503,562
Sudan,SDN,70,Western,-2.7492418279723516,3.319200065853257,63
Sudan,SDN,70,Local,0.08800809571117747,3.5160384158654368,408
Sudan,SDN,100,Chinese,1.8907940865590656,3.3458929565917113,348
Sudan,SDN,100,Western,-3.618812189570495,2.067028990460088,28
Sudan,SDN,100,Local,-0.0506117885400142,3.5013290500589176,224
United Republic of Tanzania,TZA,0,Chinese,2.701561339133289,2.5515622497316106,1237
